ACACB,IL9R
ACACB,IRX4
ACACB,ITIH1
ACACB,KRAS
ACACB,LAMC3
ACACB,LRP1
ACACB,LRRN2
ACACB,MED12L
ACACB,MET
ACACB,MGAT5
ACACB,MICAL3
ACACB,MMEL1
ACACB,MRGPRX4
ACACB,NBEAL2
ACACB,NFATC1
ACACB,NPHP1
ACACB,NRP2
ACACB,NUP188
ACACB,OGT
ACACB,PDE6A
ACACB,PIK3R1
ACACB,PSG4
ACACB,RALGPS2
ACACB,RB1
ACACB,RBM10
ACACB,SERPINB3
ACACB,SH3PXD2A
ACACB,SLC28A1
ACACB,SLC3A1
ACACB,SPTAN1
ACACB,TAF4
ACACB,UNC13B
ACACB,VCAM1
ACACB,VEGFC
ACACB,WSCD2
ACAD10,CLCN1
ACAD10,EGFR
ACAD10,FBXL7
ACAD10,KDR
ACAD10,RBM10
ACAD10,TRPM2
ACAD8,AHNAK2
ACAD8,CACNA1C
ACAD8,EGFR
ACAD8,KEAP1
ACAD8,PCDHB8
ACAD8,TP53
ACAD8,TSHZ3
ACADL,EGFR
ACADS,EGFR
ACADS,LRP1B
ACADS,MACF1
ACADS,MYH8
ACADS,ZNF804A
ACADSB,BRINP3
ACADSB,FLG
ACADSB,PTPRD
ACADSB,ZNF804A
ACAN,ALOX15
ACAN,ATP8B1
ACAN,BRAF
ACAN,C2CD2
ACAN,CAMSAP2
ACAN,CAPN5
ACAN,CCR6
ACAN,CD36
ACAN,CHD2
ACAN,CHD4
ACAN,CORO1C
ACAN,CREB5
ACAN,CTR9
ACAN,DAAM2
ACAN,DDR1
ACAN,DDX43
ACAN,DDX50
ACAN,DHX32
ACAN,EGFR
ACAN,ERBB2
ACAN,ESRRG
ACAN,FCGR3B
ACAN,FIG4
ACAN,FLT1
ACAN,GPR101
ACAN,GRIP1
ACAN,GSE1
ACAN,GTPBP4
ACAN,HEXA
ACAN,HIPK2
ACAN,HSD3B1
ACAN,HTR3A
ACAN,IKBKB
ACAN,INPP5F
ACAN,JADE2
ACAN,KHSRP
ACAN,LILRA1
ACAN,MBTPS1
ACAN,MLH3
ACAN,MMP27
ACAN,MOSPD2
ACAN,MUC5B
ACAN,MYBL2
ACAN,MYO1C
ACAN,NBEAL2
ACAN,NFIC
ACAN,PACS2
ACAN,PELP1
ACAN,PER3
ACAN,PHEX
ACAN,PIK3CA
ACAN,PLS3
ACAN,POT1
ACAN,PPM1E
ACAN,PPP1R10
ACAN,PPP6R3
ACAN,PPRC1
ACAN,RBL1
ACAN,RPH3A
ACAN,SCAF4
ACAN,SEC63
ACAN,SEMA4D
ACAN,SLC15A1
ACAN,SLC25A12
ACAN,ST18
ACAN,STAG3
ACAN,TBC1D8
ACAN,TMC6
ACAN,TMF1
ACAN,TSC2
ACAN,USP25
ACAN,VEGFC
ACAN,YES1
ACAN,ZER1
ACAN,ZFP36L1
ACAN,ZFR
ACAN,ZNF160
ACAN,ZNF236
ACAN,ZNF638
ACAT2,HYDIN
ACBD3,ZNF536
ACBD4,CDH9
ACBD4,EGFR
ACD,EGFR
ACE,ABCD2
ACE,AKAP6
ACE,ARHGEF4
ACE,ASH1L
ACE,CACNA1G
ACE,CCDC88A
ACE,CHD7
ACE,EGFR
ACE,GJA8
ACE,GRIK5
ACE,GRIN2B
ACE,HTT
ACE,IL1RAPL1
ACE,KCNJ3
ACE,MCC
ACE,NAV2
ACE,NDN
ACE,OGDHL
ACE,PIWIL1
ACE,PPP1R16B
ACE,RBM10
ACE,SATB2
ACE,SLC1A3
ACE,SLCO1B3
ACE,SNTG2
ACE,TCF4
ACE,TRIM29
ACE,WWC3
ACE,ZNF217
ACIN1,ADAMTS5
ACIN1,CACNA1A
ACIN1,DYNC1H1
ACIN1,EGFR
ACIN1,MYH2
ACIN1,PCDHB3
ACIN1,PGR
ACIN1,PHF3
ACIN1,PIWIL1
ACIN1,RALYL
ACIN1,SETX
ACIN1,SON
ACIN1,TLR4
ACIN1,TOX2
ACKR2,CACNA1C
ACKR2,EGFR
ACKR3,CARD11
