gene1,gene2,weight
ALDOC,ASNA1,5.503919339469801
ALDOC,ATP6V0C,3.1289085933594807
ALDOC,CUL2,4.86670230634305
ALDOC,HSF5,5.648320892979054
ALDOC,NOS3,5.397856354576061
ALDOC,NT5C2,5.566116750070293
ALDOC,S100A6,3.1081287568106344
ALDOC,SFPQ,3.971935234925767
ALDOC,SOX2,5.652551556386049
ALDOC,STK3,4.215807741888061
ALDOC,TFAP4,4.7454155350874005
ALDOC,TGFB1,5.684710652653342
ALDOC,USP32,5.155462815273385
ALDOC,ZNF488,4.903317312556778
ALDOC,ZNF543,4.4025051051133
ALDOC,ZNF624,5.810333356341918
ALMS1,ZMIZ2,5.773318247935534
ALOXE3,PSMD1,5.981384430356502
ALPI,ZMIZ2,4.312151157893084
AMDHD2,ATP11B,4.780487005038244
AMDHD2,DYNLT3,4.688483699862294
AMDHD2,FZD7,4.983259924443637
AMDHD2,ZNF768,4.054908391040158
AMHR2,ZMIZ2,4.039920835265668
ANKRD10,RASGRP1,4.17697756282929
ANKRD12,COG4,4.23069544385066
ANKRD26,ZMIZ2,5.284563321150434
ANKRD36,CBS,3.2178876308689537
ANKRD7,ZMIZ2,3.930498483059969
ANKS1A,ZMIZ2,4.3616008793122685
ANO1,AHR,5.781048803770821
ANO1,ALDH1B1,4.625567860187942
ANO1,ALDOA,5.162693398281803
ANO1,ARL1,5.550491550714578
ANO1,ARNTL,3.578584203249069
ANO1,ASCL4,3.3606607451215917
ANO1,ASGR2,3.3086214404481837
ANO1,BLOC1S1,3.023923523620095
ANO1,BTK,3.043326296319253
ANO1,C19ORF6,4.708715097671003
ANO1,CAPG,5.908228625606699
ANO1,CARS,5.438696905250498
ANO1,CCNE2,4.911270119502404
ANO1,CHKA,4.862668339762751
ANO1,CIT,5.004767731782915
ANO1,COG4,5.895404693187575
ANO1,DLX2,5.28519150409027
ANO1,DNAJB9,5.542083651731835
ANO1,EIF2C2,4.128524935596811
ANO1,EPHA3,4.503728562506737
ANO1,EXO1,3.0232449028460047
ANO1,FZD4,5.832385700699344
ANO1,GABPB2,4.294086651980961
ANO1,GNG5,4.505509038354995
ANO1,GPBAR1,3.0034960482914146
ANO1,GPR110,5.473605244728142
ANO1,GRIN3A,3.869536380528525
ANO1,GYG1,3.511353875759527
ANO1,HCN3,3.5419415358332964
ANO1,HMGB1,5.934642471669271
ANO1,HMGB4,4.399893088702128
ANO1,IL2,3.4561241706165267
ANO1,ING3,4.704060541452492
ANO1,MAD2L1BP,5.857340811496085
ANO1,MED4,4.520471067684548
ANO1,MGMT,5.780560427620008
ANO1,NADSYN1,4.909531211930895
ANO1,NDUFA4,3.127451120213827
ANO1,NDUFA6,5.069833593427534
ANO1,NDUFB5,4.012409923221693
ANO1,P2RX4,3.3668669374653133
ANO1,PCGF2,5.379294969410655
ANO1,PDK1,4.799137309350888
ANO1,PDLIM4,3.694459359700923
ANO1,PSEN2,4.822162412066609
ANO1,PTGS2,3.3551147853097785
ANO1,PYCRL,3.7394574057141123
ANO1,RAB11A,4.614698410782126
ANO1,RASD1,5.636554635894257
ANO1,RBP1,5.754807284481096
ANO1,RFWD2,4.895740272565217
ANO1,RIPK3,5.477625704488046
ANO1,RNF14,4.135630581285147
ANO1,RNF166,5.647595204033834
ANO1,SERPINH1,3.3533510560740036
ANO1,SLC2A4RG,3.6629775926270125
ANO1,SPP1,5.4906204714309546
ANO1,STK36,3.6886079831690486
ANO1,THBD,5.525475375751817
ANO1,TLR5,5.5862163746713325
ANO1,TNFRSF12A,3.9193592591467614
ANO1,TUBD1,3.4897765143698907
ANO1,USP22,4.391110217832816
ANO1,XRCC4,4.6807020928536645
ANO1,YEATS4,4.1946247777152434
ANO1,ZBTB20,5.279687394955024
ANO1,ZFP3,3.384758876511547
ANO1,ZNF281,3.2819876045889456
ANO1,ZNF599,4.801093787579811
ANO1,ZNF621,3.855998705554783
ANO1,ZNF689,3.799135411801905
ANO10,IL2RB,5.04141274545975
ANO10,NR1D2,3.3201838621570463
ANO10,TP53RK,3.9415877016598015
ANO10,UBAP2L,5.966563547990505
ANTXR1,UBAP2L,4.2858015318388105
AOC1,PRKDC,4.657625835502396
AP3B1,ZMIZ2,5.4392417330643745
AP3S2,PSMD1,3.62256686321903
AP3S2,TP53RK,3.4471247189008776
AP4E1,SMARCD2,3.4888256932663873
APBB3,NCOR2,4.03262733188474
APC2,NR1D2,5.237341490199817
APH1B,TBP,5.137590520825869
APH1B,UBAP2L,3.3819315851360434
APOBEC3C,ZMIZ2,5.494100824336702
APOBEC3F,MAD2L1BP,3.841905085752891
APOBEC3F,ZMIZ2,3.4252155415418453
APOE,INPP1,4.911016020503109
APOE,NR2F6,5.850826670390956
APOE,PXN,3.8328222052980703
APOE,SAP18,4.648595588062353
APOE,ZFX,4.9559785821756135
APOF,ZMIZ2,3.28885046408573
AQP2,MAD2L1BP,5.214044163953275
AQP3,ADORA2B,5.964129003635631
AQP3,ATG4A,3.122148107224403
AQP3,AXL,3.2835305479333825
AQP3,G3BP2,4.763265043819806
AQP3,GATAD2B,4.929963414267244
AQP3,GPR83,4.705688598075485
AQP3,HEXB,3.645056393539133
AQP3,HMBOX1,5.216859710797825
AQP3,IDH3A,5.798463684287724
AQP3,MAT2A,4.4126496529003525
AQP3,MRGPRX4,3.1763074872913095
AQP3,MYL6B,3.6099464081782413
AQP3,NAT10,3.1921067468039723
AQP3,PARP10,3.0770895360117088
AQP3,PPP4C,4.9951943416627325
AQP3,RAB23,5.543707688495459
AQP3,SLC16A4,3.6199969608344817
AQP3,TBC1D2B,4.02861972258708
AQP3,UCHL1,5.979239019926881
AQP3,ZNF551,4.06508868208677
