DNAJC28,DDX49
DNAJC28,ERBB2
DNAJC28,EXOSC8
DNAJC28,FOXA2
DNAJC28,MDM4
DNAJC28,MED28
DNAJC28,MTX2
DNAJC28,NFE2L2
DNAJC28,RPS27A
DNAJC28,TADA2A
DNAJC28,TBL3
DNAJC28,TEX10
DNAJC28,UQCRFS1
DNAJC28,USP7
DNAJC28,YME1L1
DNAJC28,ZNHIT3
EGR1,ERBB2
EGR1,EXOSC8
EGR1,ITGB5
EGR1,MTX2
EGR1,PIAS1
EGR1,RPS27A
EGR1,STIL
EGR1,TADA2A
EGR1,TFAP4
EGR1,TMEM11
EGR1,TOMM22
EGR1,YME1L1
EIF1,CBX7
EIF1,DNAJC15
EIF1,MECOM
EIF1,MST1
EIF1,MTAP
EIF1,TNFRSF14
EIF3G,EGR1
EIF3G,MTAP
EIF3G,SLC27A3
EIF3G,STAP2
EIF3G,TNFRSF14
EIF3G,TRIM2
EIF3G,ZNF85
ELP4,IFIH1
ELP4,MECOM
ELP4,MST1
ELP4,SLC27A3
ELP4,SPRY1
ELP4,STAP2
ELP4,TNFRSF14
ELP4,ZNF577
ELP4,ZNF85
ERBB2,ARID5B
ERBB2,DNAJC15
ERBB2,JMJD7-PLA2G4B
ERBB2,PRDX2
ERBB2,RPS6KA2
ERBB2,TIAM1
ERBB2,ZNF433
ERBB2,ZNF554
ERBB2,ZNF563
ERBB2,ZNF785
ERBB2,ZNF85
EXOSC4,IFIH1
EXOSC4,TXNIP
EXOSC4,ZNF563
EXOSC4,ZNF577
EXOSC8,CBX7
EXOSC8,PARP10
EXOSC8,PPARA
EXOSC8,ZNF433
EXOSC8,ZNF554
EXOSC8,ZNF563
EXOSC8,ZNF785
FAM117A,ANKRD49
FAM117A,ARF4
FAM117A,ATF4
FAM117A,COX6C
FAM117A,ERBB2
FAM117A,EXOSC4
FAM117A,EXOSC8
FAM117A,FOXA2
FAM117A,MDM4
FAM117A,MTX2
FAM117A,PIAS1
FAM117A,PPM1D
FAM117A,RPN2
FAM117A,STIL
FAM117A,TADA2A
FAM117A,TBL3
FAM117A,USP7
FAM117A,YME1L1
FLT3LG,DDX49
FLT3LG,FOXA2
FLT3LG,HSF1
FLT3LG,MDM4
FLT3LG,MED28
FLT3LG,MTX2
FLT3LG,NDUFC1
FLT3LG,PPM1D
FLT3LG,RPS27A
FLT3LG,TADA2A
FLT3LG,TEX10
FLT3LG,TOMM22
FLT3LG,USP7
FLT3LG,ZNHIT3
FOXA2,ARID5B
FOXA2,CBX7
FOXA2,EGR1
FOXA2,MTAP
FOXA2,PRDX2
FOXA2,RPS6KA2
FOXA2,ZNF85
FOXO4,ARF4
FOXO4,COX5A
FOXO4,DDX49
FOXO4,EXOSC4
FOXO4,EXOSC8
FOXO4,FOXA2
FOXO4,HSF1
FOXO4,NDUFB5
FOXO4,NFE2L2
FOXO4,PPM1D
FOXO4,RPN2
FOXO4,STIL
FOXO4,TADA2A
FOXO4,TEX10
FOXO4,TFAP4
FOXO4,TMEM11
FSCN3,ANKRD49
FSCN3,ARF4
FSCN3,COX6C
FSCN3,DDX49
FSCN3,ERBB2
FSCN3,EXOSC8
FSCN3,GRWD1
FSCN3,MDM4
FSCN3,MTX2
FSCN3,NDUFB5
FSCN3,NFE2L2
FSCN3,PARL
FSCN3,PPM1D
FSCN3,RPN2
