symbol,General_Term
BUD23,Transferase
METTL11B,Transferase
NTMT1,Transferase
POLR3F,Transferase
TPST1,Transferase
TPST2,Transferase
HS6ST3,Transferase
HS6ST2,Transferase
HS6ST1,Transferase
METTL3,Transferase
EEF1AKMT2,Transferase
PI4K2B,Transferase
PI4K2A,Transferase
MGAT2,Transferase
PIGM,Transferase
PIGC,Transferase
ALG1L,Transferase
ALG1,Transferase
ALG1L2,Transferase
HHAT,Transferase
HHATL,Transferase
METTL16,Transferase
POFUT2,Transferase
TRMT10B,Transferase
TRMT10C,Transferase
SPTLC1,Transferase
ALAS1,Transferase
ALAS2,Transferase
GCAT,Transferase
SPTLC3,Transferase
SPTLC2,Transferase
PFKL,Transferase
PFKM,Transferase
PFKP,Transferase
OXCT1,Transferase
OXCT2,Transferase
CREBBP,Transferase
EP300,Transferase
STT3B,Transferase
STT3A,Transferase
TAF1L,Transferase
TAF1,Transferase
WNK2,Transferase
WNK4,Transferase
WNK1,Transferase
WNK3,Transferase
NRBP1,Transferase
NRBP2,Transferase
LPCAT3,Transferase
MBOAT2,Transferase
MBOAT1,Transferase
MBOAT4,Transferase
PORCN,Transferase
MBOAT7,Transferase
UBIAD1,Transferase
POLR2J2,Transferase
POLR1D,Transferase
POLR2J,Transferase
POLR2J3,Transferase
NAT8L,Transferase
NAT8B,Transferase
NAT8,Transferase
ERN2,Transferase
ERN1,Transferase
HDHD5,Transferase
POLD4,Transferase
IPPK,Transferase
NAA60,Transferase
MECP2,Transferase
MBD4,Transferase
MGAT5,Transferase
MGAT5B,Transferase
PDGFRL,Transferase
PTDSS1,Transferase
PTDSS2,Transferase
RP2,Transferase
AUP1,Transferase
RPS6KC1,Transferase
RPS6KL1,Transferase
FXN,Transferase
ACAA2,Transferase
HADHB,Transferase
ACAT1,Transferase
ACAT2,Transferase
GNE,Transferase
ILVBL,Transferase
B4GALT2,Transferase
B4GALT3,Transferase
B4GALT5,Transferase
B4GALT6,Transferase
B4GALT1,Transferase
B4GALT4,Transferase
POLR3A,Transferase
POLR1A,Transferase
POLR2A,Transferase
WDR82,Transferase
FGFRL1,Transferase
NADK,Transferase
PIGW,Transferase
POLR2B,Transferase
POLR3B,Transferase
POLR1B,Transferase
EOGT,Transferase
POMGNT2,Transferase
RPN1,Transferase
AGXT,Transferase
ADPGK,Transferase
PIGQ,Transferase
NAA35,Transferase
DOT1L,Transferase
CMAS,Transferase
CHAT,Transferase
CPT1C,Transferase
CPT1A,Transferase
CPT1B,Transferase
CPT2,Transferase
CRAT,Transferase
CROT,Transferase
CHKA,Transferase
CHKB,Transferase
ETNK2,Transferase
ETNK1,Transferase
RFK,Transferase
ALG12,Transferase
ALG9,Transferase
PIGZ,Transferase
PIGB,Transferase
NAA16,Transferase
NAA25,Transferase
NAA15,Transferase
NSUN4,Transferase
NSUN2,Transferase
NSUN3,Transferase
METTL6,Transferase
METTL8,Transferase
METTL2A,Transferase
METTL2B,Transferase
B3GNTL1,Transferase
TRIB1,Transferase
TRIB2,Transferase
TRIB3,Transferase
STK40,Transferase
AAK1,Transferase
BMP2K,Transferase
IKBKE,Transferase
CHUK,Transferase
TBK1,Transferase
IKBKB,Transferase
PINK1,Transferase
TLK2,Transferase
TTK,Transferase
TLK1,Transferase
PIM2,Transferase
PIM3,Transferase
CDC42BPG,Transferase
ROCK2,Transferase
CDC42BPA,Transferase
ROCK1,Transferase
CDC42BPB,Transferase
GPAT4,Transferase
LPCAT4,Transferase
LPCAT2,Transferase
LPCAT1,Transferase
GPAT3,Transferase
PIP5KL1,Transferase
PIP5K1C,Transferase
PIP4K2A,Transferase
PIP4K2C,Transferase
PIP5K1A,Transferase
PIP5K1B,Transferase
PIP4K2B,Transferase
NAA10,Transferase
NAA11,Transferase
TENT4A,Transferase
TENT4B,Transferase
METTL22,Transferase
ACLY,Transferase
MPP7,Transferase
MPP1,Transferase
MPP2,Transferase
MPP3,Transferase
MPP6,Transferase
MPP4,Transferase
MPP5,Transferase
CASK,Transferase
PDHX,Transferase
GAK,Transferase
DNAJC6,Transferase
TYW3,Transferase
TRMT12,Transferase
TRMT5,Transferase
ACVR1B,Transferase
AMHR2,Transferase
BMPR1A,Transferase
TGFBR2,Transferase
ACVR1C,Transferase
TGFBR1,Transferase
BMPR1B,Transferase
BMPR2,Transferase
ACVR2A,Transferase
ACVRL1,Transferase
ACVR1,Transferase
ACVR2B,Transferase
AK7,Transferase
