ACTL7A,ACSS3
ACTL7A,ACTA2
ACTL7A,ACTB
ACTL7A,ACTL6B
ACTL7A,ACTR10
ACTL7A,ACTR1A
ACTL7B,ACTR1B
ACTL8,ACTN1
ACTL8,ACTN2
ACTL8,ACTN3
ACTL8,SRBD1
ACTL8,SRC
ACTL8,SRCAP
ACTL8,SRD5A1
ACTL8,SRD5A3
ACTN1,ACTL8
ACTN1,ACTN2
ACTN1,ACTN3
ACTN1,SRBD1
ACTN1,SRC
ACTN1,SRCAP
ACTN1,SRD5A1
ACTN1,SRD5A3
ACTN2,ACTL8
ACTN2,ACTN1
ACTN2,ACTN3
ACTN2,SRBD1
ACTN2,SRC
ACTN2,SRCAP
ACTN2,SRD5A1
ACTN2,SRD5A3
ACTN3,ACTL8
ACTN3,ACTN1
ACTN3,ACTN2
ACTN3,SRBD1
ACTN3,SRC
ACTN3,SRCAP
ACTN3,SRD5A1
ACTN3,SRD5A3
ACTR10,ACSS3
ACTR10,ACTA2
ACTR10,ACTB
ACTR10,ACTL6B
ACTR10,ACTL7A
ACTR10,ACTR1A
ACTR1A,ACSS3
ACTR1A,ACTA2
ACTR1A,ACTB
ACTR1A,ACTL6B
ACTR1A,ACTL7A
ACTR1A,ACTR10
ACTR1B,ACTL7B
ACTR2,ACTR3
ACTR3,ACTR2
ACTR8,ACVR1
ACTR8,ACVR1B
ACTR8,ACVR2A
ACTR8,ACVR2B-AS1
ACTR8,AMFR
ACTR8,BMPR1A
ACTR8,BMPR1B
ACTR8,BMPR2
ACTR8,TH
ACTR8,THADA
ACVR1,ACTR8
ACVR1,ACVR1B
ACVR1,ACVR2A
ACVR1,ACVR2B-AS1
ACVR1,AMFR
ACVR1,BMPR1A
ACVR1,BMPR1B
ACVR1,BMPR2
ACVR1,TH
ACVR1,THADA
ACVR1B,ACTR8
ACVR1B,ACVR1
ACVR1B,ACVR2A
ACVR1B,ACVR2B-AS1
ACVR1B,AMFR
ACVR1B,BMPR1A
ACVR1B,BMPR1B
ACVR1B,BMPR2
ACVR1B,TH
ACVR1B,THADA
ACVR2A,ACTR8
ACVR2A,ACVR1
ACVR2A,ACVR1B
ACVR2A,ACVR2B-AS1
ACVR2A,AMFR
ACVR2A,BMPR1A
ACVR2A,BMPR1B
ACVR2A,BMPR2
ACVR2A,TH
ACVR2A,THADA
ACVR2B-AS1,ACTR8
ACVR2B-AS1,ACVR1
ACVR2B-AS1,ACVR1B
ACVR2B-AS1,ACVR2A
ACVR2B-AS1,AMFR
ACVR2B-AS1,BMPR1A
ACVR2B-AS1,BMPR1B
ACVR2B-AS1,BMPR2
ACVR2B-AS1,TH
ACVR2B-AS1,THADA
ACY1,ACYP1
ACYP1,ACY1
ADA2,ADAM15
ADAM10,ADAM11
ADAM10,ADAM12
ADAM10,ADAM18
ADAM10,ADAM20
ADAM10,ADAM22
ADAM10,ADAM23
ADAM10,ADAM5
ADAM10,ADAM7
ADAM11,ADAM10
ADAM11,ADAM12
ADAM11,ADAM18
ADAM11,ADAM20
ADAM11,ADAM22
ADAM11,ADAM23
ADAM11,ADAM5
ADAM11,ADAM7
ADAM12,ADAM10
ADAM12,ADAM11
ADAM12,ADAM18
ADAM12,ADAM20
ADAM12,ADAM22
ADAM12,ADAM23
ADAM12,ADAM5
ADAM12,ADAM7
ADAM15,ADA2
ADAM17,ADAM19
ADAM17,ADAM2
ADAM17,ADAM28
ADAM17,ADAM29
ADAM17,ADAM8
ADAM18,ADAM10
ADAM18,ADAM11
ADAM18,ADAM12
ADAM18,ADAM20
ADAM18,ADAM22
ADAM18,ADAM23
ADAM18,ADAM5
ADAM18,ADAM7
ADAM19,ADAM17
ADAM19,ADAM2
ADAM19,ADAM28
ADAM19,ADAM29
ADAM19,ADAM8
ADAM2,ADAM17
ADAM2,ADAM19
ADAM2,ADAM28
ADAM2,ADAM29
ADAM2,ADAM8
ADAM20,ADAM10
ADAM20,ADAM11
ADAM20,ADAM12
ADAM20,ADAM18
ADAM20,ADAM22
ADAM20,ADAM23
ADAM20,ADAM5
ADAM20,ADAM7
ADAM22,ADAM10
ADAM22,ADAM11
ADAM22,ADAM12
ADAM22,ADAM18
ADAM22,ADAM20
ADAM22,ADAM23
ADAM22,ADAM5
ADAM22,ADAM7
ADAM23,ADAM10
ADAM23,ADAM11
ADAM23,ADAM12
ADAM23,ADAM18
ADAM23,ADAM20
ADAM23,ADAM22
ADAM23,ADAM5
ADAM23,ADAM7
ADAM28,ADAM17
ADAM28,ADAM19
ADAM28,ADAM2
ADAM28,ADAM29
ADAM28,ADAM8
ADAM29,ADAM17
ADAM29,ADAM19
ADAM29,ADAM2
ADAM29,ADAM28
ADAM29,ADAM8
ADAM5,ADAM10
ADAM5,ADAM11
ADAM5,ADAM12
ADAM5,ADAM18
ADAM5,ADAM20
ADAM5,ADAM22
ADAM5,ADAM23
ADAM5,ADAM7
ADAM7,ADAM10
ADAM7,ADAM11
ADAM7,ADAM12
ADAM7,ADAM18
ADAM7,ADAM20
ADAM7,ADAM22
ADAM7,ADAM23
ADAM7,ADAM5
ADAM8,ADAM17
ADAM8,ADAM19
ADAM8,ADAM2
ADAM8,ADAM28
ADAM8,ADAM29
ADAMDEC1,ADAMTS12
ADAMDEC1,ADAMTS2
ADAMDEC1,ADAMTS3
ADAMDEC1,ADAMTS7
ADAMDEC1,ADAMTS8
ADAMTS1,ADAMTS13
ADAMTS1,ADAMTS20
ADAMTS1,ADAMTS5
ADAMTS1,ADAMTS6
ADAMTS12,ADAMDEC1
ADAMTS12,ADAMTS2
ADAMTS12,ADAMTS3
ADAMTS12,ADAMTS7
ADAMTS12,ADAMTS8
ADAMTS13,ADAMTS1
ADAMTS13,ADAMTS20
ADAMTS13,ADAMTS5
ADAMTS13,ADAMTS6
ADAMTS2,ADAMDEC1
ADAMTS2,ADAMTS12
ADAMTS2,ADAMTS3
ADAMTS2,ADAMTS7
ADAMTS2,ADAMTS8
ADAMTS20,ADAMTS1
ADAMTS20,ADAMTS13
ADAMTS20,ADAMTS5
ADAMTS20,ADAMTS6
ADAMTS3,ADAMDEC1
ADAMTS3,ADAMTS12
ADAMTS3,ADAMTS2
ADAMTS3,ADAMTS7
ADAMTS3,ADAMTS8
ADAMTS5,ADAMTS1
ADAMTS5,ADAMTS13
ADAMTS5,ADAMTS20
ADAMTS5,ADAMTS6
ADAMTS6,ADAMTS1
ADAMTS6,ADAMTS13
ADAMTS6,ADAMTS20
ADAMTS6,ADAMTS5
ADAMTS7,ADAMDEC1
ADAMTS7,ADAMTS12
ADAMTS7,ADAMTS2
ADAMTS7,ADAMTS3
ADAMTS7,ADAMTS8
ADAMTS8,ADAMDEC1
ADAMTS8,ADAMTS12
ADAMTS8,ADAMTS2
ADAMTS8,ADAMTS3
ADAMTS8,ADAMTS7
ADAMTS9,ADAMTSL2
ADAMTS9,ADAMTSL3
ADAMTS9,TIMELESS
ADAMTSL2,ADAMTS9
ADAMTSL2,TIMELESS
ADAMTSL3,ADAMTS9
ADAMTSL3,TIMELESS
ADAMTSL4,ADAP1
ADAMTSL4,SMARCE1
ADAP1,ADAMTSL4
ADAP1,SMARCE1
ADAP2,ADAR
ADAP2,ADARB1
ADAP2,ADARB2
ADAR,ADAP2
ADAR,ADARB1
ADAR,ADARB2
ADARB1,ADAP2
ADARB1,ADAR
ADARB1,ADARB2
ADARB2,ADAP2
ADARB2,ADAR
ADARB2,ADARB1
ADCK2,ADCY1
ADCK2,ADCY10
ADCK2,ADCY2
ADCK2,ADCY3
ADCK2,ADCY5
ADCK2,ADCY6
ADCK2,ADCY7
ADCY1,ADCK2
ADCY1,ADCY10
ADCY1,ADCY2
ADCY1,ADCY3
ADCY1,ADCY5
ADCY1,ADCY6
ADCY1,ADCY7
ADCY10,ADCK2
ADCY10,ADCY1
ADCY10,ADCY2
ADCY10,ADCY3
ADCY10,ADCY5
ADCY10,ADCY6
ADCY10,ADCY7
ADCY2,ADCK2
ADCY2,ADCY1
ADCY2,ADCY10
ADCY2,ADCY3
ADCY2,ADCY5
ADCY2,ADCY6
ADCY2,ADCY7
ADCY3,ADCK2
ADCY3,ADCY1
ADCY3,ADCY10
ADCY3,ADCY2
ADCY3,ADCY5
ADCY3,ADCY6
ADCY3,ADCY7
ADCY5,ADCK2
ADCY5,ADCY1
ADCY5,ADCY10
ADCY5,ADCY2
ADCY5,ADCY3
ADCY5,ADCY6
ADCY5,ADCY7
ADCY6,ADCK2
ADCY6,ADCY1
ADCY6,ADCY10
ADCY6,ADCY2
ADCY6,ADCY3
ADCY6,ADCY5
ADCY6,ADCY7
ADCY7,ADCK2
ADCY7,ADCY1
ADCY7,ADCY10
ADCY7,ADCY2
ADCY7,ADCY3
ADCY7,ADCY5
ADCY7,ADCY6
ADCY8,VPREB3
ADCY9,GCKR
ADCY9,GIGYF2
ADCY9,GJA3
ADCY9,GLRA3
ADCY9,GLRB
ADCY9,PTPA
ADCY9,PTPLA
ADCY9,SDCBP
ADCY9,VPS13A
ADCY9,VPS13B
ADCYAP1,ADCYAP1R1
ADCYAP1,ADD1
ADCYAP1R1,ADCYAP1
ADCYAP1R1,ADD1
ADD1,ADCYAP1
ADD1,ADCYAP1R1
ADD3,ADGB
ADD3,LRRC42
ADGB,ADD3
ADGB,LRRC42
ADGRA2,ADGRA3
ADGRA2,ADGRB1
ADGRA2,CFTR
ADGRA3,ADGRA2
ADGRA3,ADGRB1
ADGRA3,CFTR
ADGRB1,ADGRA2
ADGRB1,ADGRA3
ADGRB1,CFTR
ADGRB2,ADGRB3
ADGRB2,ADGRE1
ADGRB2,ADGRE2
ADGRB2,ADGRG3
ADGRB2,ADGRG6
ADGRB2,ADGRL1
ADGRB2,ADGRL2
ADGRB3,ADGRB2
ADGRB3,ADGRE1
ADGRB3,ADGRE2
ADGRB3,ADGRG3
ADGRB3,ADGRG6
ADGRB3,ADGRL1
ADGRB3,ADGRL2
ADGRE1,ADGRB2
ADGRE1,ADGRB3
ADGRE1,ADGRE2
ADGRE1,ADGRG3
ADGRE1,ADGRG6
ADGRE1,ADGRL1
ADGRE1,ADGRL2
ADGRE2,ADGRB2
ADGRE2,ADGRB3
ADGRE2,ADGRE1
ADGRE2,ADGRG3
ADGRE2,ADGRG6
ADGRE2,ADGRL1
ADGRE2,ADGRL2
ADGRE3,ADGRE5
ADGRE5,ADGRE3
ADGRF1,ADGRF5
ADGRF1,ADGRG1
ADGRF1,ADGRG2
ADGRF5,ADGRF1
ADGRF5,ADGRG1
ADGRF5,ADGRG2
ADGRG1,ADGRF1
ADGRG1,ADGRF5
ADGRG1,ADGRG2
ADGRG2,ADGRF1
ADGRG2,ADGRF5
ADGRG2,ADGRG1
ADGRG3,ADGRB2
ADGRG3,ADGRB3
ADGRG3,ADGRE1
ADGRG3,ADGRE2
ADGRG3,ADGRG6
ADGRG3,ADGRL1
ADGRG3,ADGRL2
ADGRG6,ADGRB2
ADGRG6,ADGRB3
ADGRG6,ADGRE1
ADGRG6,ADGRE2
ADGRG6,ADGRG3
ADGRG6,ADGRL1
ADGRG6,ADGRL2
ADGRL1,ADGRB2
ADGRL1,ADGRB3
ADGRL1,ADGRE1
ADGRL1,ADGRE2
ADGRL1,ADGRG3
ADGRL1,ADGRG6
ADGRL1,ADGRL2
ADGRL2,ADGRB2
ADGRL2,ADGRB3
ADGRL2,ADGRE1
ADGRL2,ADGRE2
ADGRL2,ADGRG3
ADGRL2,ADGRG6
ADGRL2,ADGRL1
ADGRL3,SLCO1A2
ADGRL3,SLCO1B1
ADGRL4,ADGRV1
ADGRL4,ADH1A
ADGRL4,ADH1B
ADGRL4,ADH1C
ADGRL4,ADH5
ADGRV1,ADGRL4
ADGRV1,ADH1A
ADGRV1,ADH1B
ADGRV1,ADH1C
ADGRV1,ADH5
ADH1A,ADGRL4
ADH1A,ADGRV1
ADH1A,ADH1B
ADH1A,ADH1C
ADH1A,ADH5
ADH1B,ADGRL4
ADH1B,ADGRV1
ADH1B,ADH1A
ADH1B,ADH1C
ADH1B,ADH5
ADH1C,ADGRL4
ADH1C,ADGRV1
ADH1C,ADH1A
ADH1C,ADH1B
ADH1C,ADH5
ADH5,ADGRL4
ADH5,ADGRV1
ADH5,ADH1A
ADH5,ADH1B
ADH5,ADH1C
ADH7,C1QB
ADH7,COL11A1
ADH7,COL8A2
ADH7,COL9A1
ADI1,ADIPOQ
ADI1,PARP12
ADI1,PARP16
ADIPOQ,ADI1
ADIPOQ,PARP12
ADIPOQ,PARP16
ADM,ADM2
ADM2,ADM
ADNP2,ADO
ADNP2,ADORA1
ADNP2,ADORA2A
ADO,ADNP2
ADO,ADORA1
ADO,ADORA2A
ADORA1,ADNP2
ADORA1,ADO
ADORA1,ADORA2A
ADORA2A,ADNP2
ADORA2A,ADO
ADORA2A,ADORA1
ADPRH,ADPRM
ADPRH,ADRA1A
ADPRH,HTR4
ADPRH,HTR5A
ADPRH,HTR6
ADPRH,HTR7
ADPRH,HTR7P1
ADPRH,HYAL1
ADPRH,HYAL3
ADPRM,ADPRH
ADPRM,ADRA1A
ADPRM,HTR4
ADPRM,HTR5A
ADPRM,HTR6
ADPRM,HTR7
ADPRM,HTR7P1
ADPRM,HYAL1
ADPRM,HYAL3
ADRA1A,ADPRH
ADRA1A,ADPRM
ADRA1A,HTR4
ADRA1A,HTR5A
ADRA1A,HTR6
ADRA1A,HTR7
ADRA1A,HTR7P1
ADRA1A,HYAL1
ADRA1A,HYAL3
ADRA1B,ADRA1D
ADRA1B,ADRA2A
ADRA1B,ADRA2B
ADRA1B,ADRA2C
ADRA1B,ADRB1
ADRA1B,DRD2
ADRA1B,DRD3
ADRA1B,DRD4
ADRA1B,DRD5
ADRA1B,DRG1
ADRA1B,HS3ST3A1
ADRA1B,HTRA1
ADRA1B,HTRA2
ADRA1B,HTT
ADRA1B,HUWE1
ADRA1B,HYAL2
ADRA1D,ADRA1B
ADRA1D,ADRA2A
ADRA1D,ADRA2B
ADRA1D,ADRA2C
ADRA1D,ADRB1
ADRA1D,DRD2
ADRA1D,DRD3
ADRA1D,DRD4
ADRA1D,DRD5
ADRA1D,DRG1
ADRA1D,HS3ST3A1
ADRA1D,HTRA1
ADRA1D,HTRA2
ADRA1D,HTT
ADRA1D,HUWE1
ADRA1D,HYAL2
ADRA2A,ADRA1B
ADRA2A,ADRA1D
ADRA2A,ADRA2B
ADRA2A,ADRA2C
ADRA2A,ADRB1
ADRA2A,DRD2
ADRA2A,DRD3
ADRA2A,DRD4
ADRA2A,DRD5
ADRA2A,DRG1
ADRA2A,HS3ST3A1
ADRA2A,HTRA1
ADRA2A,HTRA2
ADRA2A,HTT
ADRA2A,HUWE1
ADRA2A,HYAL2
ADRA2B,ADRA1B
ADRA2B,ADRA1D
ADRA2B,ADRA2A
ADRA2B,ADRA2C
ADRA2B,ADRB1
ADRA2B,DRD2
ADRA2B,DRD3
ADRA2B,DRD4
ADRA2B,DRD5
ADRA2B,DRG1
ADRA2B,HS3ST3A1
ADRA2B,HTRA1
ADRA2B,HTRA2
ADRA2B,HTT
ADRA2B,HUWE1
ADRA2B,HYAL2
ADRA2C,ADRA1B
ADRA2C,ADRA1D
ADRA2C,ADRA2A
ADRA2C,ADRA2B
ADRA2C,ADRB1
ADRA2C,DRD2
ADRA2C,DRD3
ADRA2C,DRD4
ADRA2C,DRD5
ADRA2C,DRG1
ADRA2C,HS3ST3A1
ADRA2C,HTRA1
ADRA2C,HTRA2
ADRA2C,HTT
ADRA2C,HUWE1
ADRA2C,HYAL2
ADRB1,ADRA1B
ADRB1,ADRA1D
ADRB1,ADRA2A
ADRB1,ADRA2B
ADRB1,ADRA2C
ADRB1,DRD2
ADRB1,DRD3
ADRB1,DRD4
ADRB1,DRD5
ADRB1,DRG1
ADRB1,HS3ST3A1
ADRB1,HTRA1
ADRB1,HTRA2
