gene1,gene2
ABCA2,BGN
ABCA2,BTAF1
ABCA2,C6
ABCA2,CEP350
ABCA2,CHRNB3
ABCA2,COLEC12
ABCA2,CST1
ABCA2,CTNNA2
ABCA2,CYP3A43
ABCA2,DERL1
ABCA2,DKK4
ABCA2,EDN3
ABCA2,EPB41L4B
ABCA2,ETFDH
ABCA2,EXTL2
ABCA2,EXTL3
ABCA2,FAM13A
ABCA2,FOXD2
ABCA2,FRMPD4
ABCA2,GABRB1
ABCA2,GAD1
ABCA2,GGNBP2
ABCA2,GPI
ABCA2,GPR174
ABCA2,GRPR
ABCA2,GSTM5
ABCA2,GYS2
ABCA2,HDAC8
ABCA2,HTATSF1
ABCA2,INHBA
ABCA2,JAK2
ABCA2,JMJD1C
ABCA2,KDM5B
ABCA2,KDM7A
ABCA2,KDR
ABCA2,KIAA1549L
ABCA2,KRT6A
ABCA2,LILRA1
ABCA2,LUZP2
ABCA2,LYST
ABCA2,MAN2A1
ABCA2,MAP2K4
ABCA2,MEIS2
ABCA2,MLH1
ABCA2,MLLT10
ABCA2,MPP2
ABCA2,MYO5A
ABCA2,OXSR1
ABCA2,PDE4D
ABCA2,PDGFA
ABCA2,PDSS1
ABCA2,PEG3
ABCA2,PHF7
ABCA2,PLA2R1
ABCA2,PLG
ABCA2,PLN
ABCA2,RABGGTB
ABCA2,RAD50
ABCA2,RBFOX1
ABCA2,RGS13
ABCA2,RGSL1
ABCA2,RIMBP2
ABCA2,RPGRIP1L
ABCA2,RPH3A
ABCA2,RYR1
ABCA2,RYR2
ABCA2,RYR3
ABCA2,SCN1A
ABCA2,SELE
ABCA2,SEMA3C
ABCA2,SLC13A3
ABCA2,SMARCAD1
ABCA2,SORL1
ABCA2,SOX2
ABCA2,SOX9
ABCA2,STAT4
ABCA2,STK36
ABCA2,SYN1
ABCA2,SYNM
ABCA2,TIA1
ABCA2,TMOD2
ABCA2,TNFSF4
ABCA2,TPP1
ABCA2,TRAPPC11
ABCA2,TSKS
ABCA2,USP7
ABCA2,UTP3
ABCA2,VCAN
ABCA2,ZC3H7A
ABCA2,ZC4H2
ABCA2,ZNF14
ABCA2,ZNF264
ABCA2,ZNF267
ABCA2,ZNF268
ABCA2,ZNF548
ABCA2,ZNF702P
ABCA2,ZNF721
ABCA3,APLP1
ABCA3,DPEP2
ABCA3,FEM1B
ABCA3,GPR174
ABCA3,NIN
ABCA3,SOX9
ABCA3,ZC4H2
ABCA4,DKK3
ABCA4,FTSJ1
ABCA4,FZR1
ABCA4,LILRA3
ABCA4,MAGEA4
ABCA4,RAD23A
ABCA4,SOX9
ABCA4,TGIF1
ABCA4,TRAPPC13
ABCA5,ABCA2
ABCA5,SOX9
ABCA6,ABCA2
ABCA6,HPS1
ABCA6,MAP3K12
ABCA6,PLXNA2
ABCA6,PTH1R
ABCA6,SOX9
ABCA6,TICAM1
ABCA7,CYB5R4
ABCA7,SOX9
ABCA7,TPP1
ABCA8,A4GALT
ABCA8,ABCA2
ABCA8,AMPD2
ABCA8,ANGPTL7
ABCA8,ARID1A
ABCA8,ASB13
ABCA8,ASB7
ABCA8,CASP8
ABCA8,CASZ1
ABCA8,CDKN2A
ABCA8,CLPTM1
ABCA8,CNIH1
ABCA8,COL3A1
ABCA8,CRHR1
ABCA8,CRTC1
ABCA8,DDX11
ABCA8,DPP3
ABCA8,E4F1
ABCA8,EXOC7
ABCA8,FRMPD4
ABCA8,FTSJ1
ABCA8,GRIK3
ABCA8,GRM2
ABCA8,IGFALS
ABCA8,JAG2
ABCA8,KHSRP
ABCA8,MAGIX
ABCA8,MAP2K7
ABCA8,MICAL1
ABCA8,MUC16
ABCA8,NRAS
ABCA8,OLFML2A
ABCA8,OR10C1
ABCA8,P2RX1
ABCA8,PAX1
ABCA8,PCDH17
ABCA8,PLXNB3
ABCA8,PSTPIP1
ABCA8,RAB28
ABCA8,RBM10
ABCA8,RGS11
ABCA8,RNF43
ABCA8,SLC2A8
ABCA8,SLC5A5
ABCA8,SOX9
ABCA8,SPON2
ABCA8,SQSTM1
ABCA8,TBC1D13
ABCA8,TBX10
ABCA8,TGIF1
ABCA8,THAP4
ABCA8,TJP3
ABCA8,TNNI3
ABCA8,TP53
ABCA8,TP73
ABCA8,TPSAB1
ABCA8,TRPS1
ABCA8,TUBB2A
ABCA8,WWC1
ABCA8,ZNF74
ABCB1,CAPN9
ABCB1,GPR50
ABCB1,OLFML2A
ABCB1,SOX9
ABCB1,STEAP3
ABCB1,THOP1
ABCB1,TP53
ABCB1,TRAF2
ABCB1,TSC2
ABCB11,ABCA2
ABCB11,ADAMTS8
ABCB11,APBB3
ABCB11,CCNL2
ABCB11,CTC1
ABCB11,ECEL1
ABCB11,FAM153A
ABCB11,FOXRED2
ABCB11,GOLGA3
ABCB11,GPR50
ABCB11,GRM2
ABCB11,HPS1
ABCB11,HTR1A
ABCB11,KRT83
ABCB11,MAP2K7
ABCB11,MYC
ABCB11,NRAS
ABCB11,PAFAH2
