gene1,gene2
APC,LRP3
APC,LRP4
APC,LYN
APC,LYRM9
APC,LYST
APC,MAGEH1
APC,MAP1B
APC,MAP9
APC,MAPK11
APC,MBOAT2
APC,MDFIC
APC,MICB
APC,MPDZ
APC,MPP1
APC,MPP2
APC,MR1
APC,MVB12B
APC,MXRA7
APC,MYBL1
APC,MYO5A
APC,NAT1
APC,NAV2
APC,NBEA
APC,NFATC1
APC,NINL
APC,NR3C1
APC,NRP2
APC,NT5M
APC,OBSL1
APC,OGFRL1
APC,OSMR
APC,OXCT1
APC,P2RX5
APC,PARVB
APC,PCDHGC3
APC,PDK3
APC,PEG10
APC,PGBD1
APC,PIK3CD
APC,PKIG
APC,PLAU
APC,PLEKHO1
APC,PSMB9
APC,PSTPIP2
APC,PTPRG
APC,PTPRS
APC,PTPRU
APC,PXK
APC,QKI
APC,RAB31
APC,RAB3IL1
APC,RASSF8
APC,RECK
APC,RGS20
APC,RGS9
APC,RIN3
APC,ROBO1
APC,RPL39L
APC,RTL8C
APC,RUSC2
APC,S1PR2
APC,SATB2
APC,SCD5
APC,SDC3
APC,SEMA4F
APC,SEMA7A
APC,SEPTIN6
APC,SGCE
APC,SH3BP5
APC,SIRT4
APC,SIX1
APC,SLC12A5
APC,SLC30A4
APC,SLC4A3
APC,SLC6A9
APC,SLCO3A1
APC,SMO
APC,SNRPN
APC,SNTA1
APC,SNX10
APC,SOAT1
APC,SOCS2
APC,SOCS3
APC,SOGA1
APC,SPART
APC,SPHK1
APC,STARD13
APC,STC2
APC,STOM
APC,SYDE1
APC,SYNGR1
APC,SYNM
APC,TBKBP1
APC,TCEA2
APC,TIAM1
APC,TMEM45A
APC,TNFAIP3
APC,TPST1
APC,TRMT12
APC,TRPC1
APC,TTC28
APC,TUSC3
APC,UBE2L6
APC,WHRN
APC,WIPF1
APC,WNT3
APC,WWC3
APC,WWTR1
APC,ZBTB10
APC,ZCCHC24
APC,ZFP30
APC,ZFP37
APC,ZNF134
APC,ZNF287
APC,ZNF304
APC,ZNF345
APC,ZNF362
APC,ZNF462
APC,ZNF512B
APC,ZNF528
APC,ZNF529
APC,ZNF549
APC,ZNF583
APC,ZNF606
APC,ZNF654
APC,ZNF658
APC,ZXDB
ASH2L,AASS
ASH2L,ABCA3
ASH2L,ADA
ASH2L,ADCY7
ASH2L,ADCY9
ASH2L,ADGRL1
ASH2L,AHNAK2
ASH2L,AKT3
ASH2L,ANKRD6
ASH2L,ANTXR1
ASH2L,APBB1
ASH2L,APOBEC3C
ASH2L,APOBEC3F
ASH2L,ARAP3
ASH2L,ARHGEF10
ASH2L,ARL4C
ASH2L,ARSB
ASH2L,ATP10D
ASH2L,ATP8B2
ASH2L,B3GALNT1
ASH2L,BASP1
ASH2L,BCAT1
ASH2L,BEX3
ASH2L,BHLHB9
ASH2L,CALD1
ASH2L,CBR3
ASH2L,CBS
ASH2L,CCDC88A
ASH2L,CD83
ASH2L,CDK14
ASH2L,CDKL3
ASH2L,CERS4
ASH2L,CHN1
ASH2L,CHST10
ASH2L,CHST11
ASH2L,CHST15
ASH2L,CLEC2D
ASH2L,CLTCL1
ASH2L,CNTLN
ASH2L,CNTNAP1
ASH2L,COL6A1
ASH2L,COL7A1
ASH2L,CPLANE1
ASH2L,CPPED1
ASH2L,CSF1
ASH2L,CSRP2
